2023-01-14|09:45:13|CoffeeShop|Downtown|D|4.75
2025-02-19|21:04:25|Hardware|Home Depot|P|-432.67
2023-05-05|20:33:32|Transport|Lyft|D|428.74
2022-01-12|03:53:28|Fast Food|McDonald's|P|-365.53
2022-03-31|11:44:09|Subscription|Spotify|P|-246.52
2024-08-19|05:40:39|Transport|Lyft|P|-370.67
2023-01-21|17:17:07|Transport|Uber|D|489.96
2023-04-02|12:08:11|Coffee|Starbucks|P|-65.36
2022-07-05|00:20:50|Hardware|Home Depot|D|53.89
2022-02-06|20:36:55|Electronics|Best Buy|P|-230.81
2024-04-28|19:01:09|Pharmacy|CVS|P|-436.77
2022-02-02|05:39:14|Gas|Shell|P|-482.12
2025-03-10|09:13:31|Transport|Lyft|D|181.54
2024-07-27|19:01:44|Online Shopping|Amazon|D|415.63
2025-09-12|14:46:44|Transport|Lyft|P|-280.99
2024-07-30|10:33:57|Electronics|Apple|D|18.52
2025-10-11|01:55:42|Hardware|Home Depot|P|-170.81
2022-03-11|00:05:48|Transport|Lyft|P|-316.90
2022-07-15|19:14:47|Electronics|Best Buy|D|101.81
2022-03-13|14:33:07|Electronics|Best Buy|D|295.63
2023-03-08|17:05:04|Groceries|Walmart|P|-35.10
2022-09-10|23:33:41|Electronics|Apple|D|317.58
2023-05-20|19:04:18|Transport|Lyft|P|-312.61
2022-02-23|19:46:55|Retail|Target|P|-191.35
2025-01-21|08:02:32|Electronics|Apple|P|-292.82
2024-05-21|06:00:46|Electronics|Best Buy|P|-167.44
2024-05-19|03:19:37|Retail|Target|P|-59.72
2022-05-05|14:29:32|Coffee|Starbucks|D|363.81
2023-03-14|21:33:44|Subscription|Spotify|D|365.67
2025-08-12|21:35:09|Fast Food|McDonald's|P|-411.85
2022-01-02|13:45:48|Transport|Lyft|D|201.51
2023-03-06|05:43:37|Fast Food|McDonald's|P|-72.82
2023-10-26|12:06:13|Retail|Target|D|445.86
2024-11-16|09:06:32|Fast Food|McDonald's|D|436.92
2025-09-10|13:34:38|Electronics|Best Buy|P|-272.70
2024-01-03|15:05:08|Groceries|Walmart|D|204.56
2025-03-15|00:05:16|Electronics|Best Buy|P|-64.85
2025-11-01|11:51:13|Retail|Target|D|307.78
2024-01-04|22:39:49|Coffee|Starbucks|D|393.79
2023-11-23|00:23:02|Groceries|Costco|D|160.44
2022-06-26|10:25:08|Fast Food|McDonald's|D|227.98
2025-02-14|17:12:17|Subscription|Spotify|P|-262.74
2022-07-09|07:39:29|Coffee|Starbucks|D|344.41
2023-11-09|21:31:08|Groceries|Costco|P|-94.89
2024-12-20|13:34:46|Pharmacy|CVS|P|-454.14
2023-06-14|14:01:48|Retail|Target|D|36.53
2025-11-19|20:38:29|Hardware|Home Depot|P|-432.59
2022-12-19|06:37:42|Electronics|Best Buy|D|346.72
2025-02-27|00:10:35|Online Shopping|Amazon|D|83.84
2025-05-24|17:45:14|Online Shopping|Amazon|D|347.39
2024-07-02|14:11:05|Fast Food|McDonald's|P|-268.72
2024-01-08|06:59:39|Subscription|Spotify|P|-417.89
2023-07-25|07:32:28|Hardware|Home Depot|P|-286.88
2024-06-12|09:13:48|Pharmacy|CVS|D|472.21
2023-07-14|06:27:26|Retail|Target|P|-141.56
2023-05-16|09:22:33|Transport|Uber|D|494.39
2022-03-02|15:16:54|Retail|Target|D|453.93
2022-06-07|13:51:04|Groceries|Walmart|P|-143.13
2025-03-08|17:55:46|Online Shopping|Amazon|D|176.07
2025-02-01|23:14:28|Transport|Lyft|P|-303.13
2025-01-27|07:37:54|Groceries|Costco|P|-291.22
2022-06-08|23:18:28|Electronics|Best Buy|D|157.86
2025-12-03|13:11:59|Transport|Lyft|P|-158.05
2025-07-20|03:37:58|Electronics|Apple|D|136.79
2023-08-21|00:48:02|Pharmacy|CVS|P|-301.00
2022-08-16|03:59:58|Electronics|Best Buy|P|-302.36
2025-08-11|09:14:18|Groceries|Walmart|P|-134.77
2025-03-12|00:56:46|Hardware|Home Depot|D|115.23
2025-12-07|12:48:42|Online Shopping|Amazon|D|269.52
2024-12-09|18:26:39|Transport|Lyft|P|-357.28
2023-06-01|15:50:19|Groceries|Costco|D|70.86
2022-12-12|03:09:29|Groceries|Costco|D|5.34
2025-10-03|17:05:19|Electronics|Best Buy|P|-22.46
2023-01-13|15:00:23|Hardware|Home Depot|P|-146.46
2024-06-16|23:13:13|Gas|Shell|D|239.34
2025-02-13|05:49:28|Hardware|Home Depot|D|445.31
2023-04-21|13:02:53|Pharmacy|CVS|D|302.66
2024-04-29|21:21:09|Electronics|Apple|D|108.99
2022-04-16|00:43:41|Retail|Target|D|296.14
2024-09-13|08:22:21|Electronics|Apple|P|-85.34
2022-05-19|01:10:41|Gas|Shell|D|444.77
2022-06-15|16:08:02|Groceries|Costco|P|-466.75
2025-05-15|08:31:33|Electronics|Apple|D|492.90
2023-12-28|23:21:50|Retail|Target|P|-369.81
2022-05-11|04:21:05|Subscription|Netflix|D|425.52
2022-10-01|19:19:27|Pharmacy|CVS|P|-231.83
2022-10-19|16:12:34|Coffee|Starbucks|P|-425.21
2023-11-14|04:12:02|Pharmacy|CVS|D|20.91
2022-04-06|00:44:18|Electronics|Apple|P|-435.85
2022-11-14|19:09:26|Subscription|Netflix|P|-129.14
2025-02-20|15:02:26|Coffee|Starbucks|P|-10.77
2024-04-07|02:32:51|Groceries|Walmart|D|420.27
2023-09-23|15:17:17|Transport|Uber|P|-243.90
2023-04-21|15:45:24|Gas|Shell|D|89.81
2022-02-25|01:18:21|Subscription|Netflix|D|196.43
2025-08-18|02:15:28|Electronics|Best Buy|P|-440.23
2022-07-22|07:41:57|Transport|Lyft|P|-454.33
2023-09-10|21:59:12|Gas|Shell|P|-457.40
2025-07-16|06:13:42|Subscription|Spotify|D|37.16
2022-08-21|15:08:47|Fast Food|McDonald's|D|31.19
2022-02-22|11:58:10|Retail|Target|P|-461.48
2024-01-22|13:01:09|Pharmacy|CVS|D|67.72
2023-05-29|22:53:54|Online Shopping|Amazon|P|-224.43
2024-10-09|04:58:26|Online Shopping|Amazon|D|374.25
2024-11-16|17:48:13|Subscription|Spotify|D|373.82
2024-04-26|06:07:19|Subscription|Netflix|D|248.59
2022-05-24|08:59:08|Gas|Shell|D|350.87
2024-11-23|06:27:54|Electronics|Apple|P|-396.64
2025-06-15|10:32:25|Hardware|Home Depot|D|10.78
2022-03-02|23:14:29|Hardware|Home Depot|P|-8.02
2024-04-11|16:32:56|Hardware|Home Depot|D|387.14
2023-09-03|08:58:54|Coffee|Starbucks|D|450.30
2022-02-18|19:03:00|Transport|Uber|P|-195.97
2024-01-26|05:24:57|Electronics|Apple|P|-214.46
2024-10-06|23:35:35|Gas|Shell|P|-39.07
2024-03-13|10:54:59|Transport|Uber|D|67.09
2023-05-26|00:50:04|Groceries|Costco|P|-452.16
2024-04-18|17:57:25|Transport|Uber|P|-460.30
2025-07-18|09:24:05|Online Shopping|Amazon|D|274.50
2024-03-29|10:52:34|Transport|Lyft|D|245.08
2023-02-24|07:20:37|Pharmacy|CVS|D|91.07
2023-03-03|11:23:16|Pharmacy|CVS|D|11.28
2025-10-06|04:49:02|Transport|Lyft|D|299.57
2025-07-03|16:18:52|Subscription|Netflix|P|-319.95
2025-06-06|00:54:11|Transport|Uber|D|240.42
2025-01-28|21:53:21|Retail|Target|D|474.58
2025-02-06|02:24:14|Coffee|Starbucks|P|-493.50
2023-09-10|19:51:58|Retail|Target|D|458.64
2023-03-25|22:22:57|Groceries|Costco|P|-105.66
2023-07-16|04:29:03|Hardware|Home Depot|P|-283.63
2022-01-05|08:58:37|Transport|Lyft|P|-373.99
2025-02-01|08:13:52|Hardware|Home Depot|P|-486.25
2023-08-15|07:19:56|Gas|Shell|P|-103.01
2024-01-06|16:27:54|Retail|Target|P|-182.26
2022-08-04|15:04:12|Coffee|Starbucks|P|-94.87
2025-12-27|09:22:24|Online Shopping|Amazon|D|293.72
2022-04-18|09:23:00|Hardware|Home Depot|D|458.71
2024-03-13|06:11:58|Subscription|Netflix|P|-231.43
2023-04-30|11:49:07|Electronics|Best Buy|D|441.38
2022-07-22|03:58:56|Electronics|Apple|P|-165.15
2024-01-06|15:09:18|Fast Food|McDonald's|D|13.17
2024-10-09|16:41:30|Electronics|Apple|D|458.48
2025-05-08|12:45:56|Hardware|Home Depot|D|266.93
2023-06-25|10:15:25|Groceries|Walmart|P|-373.02
2025-05-25|17:02:54|Transport|Uber|D|1.94
2023-05-05|01:28:48|Online Shopping|Amazon|D|473.38
2023-10-27|23:23:47|Electronics|Best Buy|P|-475.88
2022-12-31|01:30:37|Subscription|Netflix|P|-48.48
2022-01-20|15:32:09|Transport|Uber|D|496.22
2022-03-03|08:54:44|Online Shopping|Amazon|P|-26.35
2023-06-11|10:03:41|Subscription|Spotify|D|351.87
2022-10-30|00:27:11|Gas|Shell|P|-317.05
2022-01-23|00:20:40|Retail|Target|P|-433.89
2022-12-11|22:45:39|Pharmacy|CVS|P|-331.25
2022-06-06|05:19:20|Transport|Uber|D|61.80
2023-03-31|07:55:10|Subscription|Netflix|D|420.97
2025-01-31|17:18:33|Retail|Target|P|-260.37
2024-08-03|08:56:59|Hardware|Home Depot|P|-191.40
2024-08-31|00:09:25|Groceries|Costco|D|138.85
2024-06-11|03:09:07|Groceries|Costco|P|-200.95
2023-02-07|17:12:33|Electronics|Apple|D|208.08
2024-01-04|10:48:50|Gas|Shell|P|-169.28
2024-05-29|13:33:22|Transport|Lyft|D|446.03
2025-03-06|05:30:28|Gas|Shell|P|-24.68
2022-09-09|17:15:31|Online Shopping|Amazon|P|-118.05
2024-08-17|02:50:40|Groceries|Walmart|D|80.49
2024-11-15|00:05:08|Transport|Uber|D|15.38
2025-12-21|03:07:45|Transport|Uber|P|-76.34
2022-03-13|12:14:47|Electronics|Best Buy|P|-399.50
2025-07-30|21:16:16|Groceries|Walmart|D|187.93
2024-03-26|00:03:01|Retail|Target|D|155.45
2022-03-14|12:40:55|Coffee|Starbucks|P|-326.38
2025-05-17|21:07:03|Subscription|Netflix|P|-477.64
2025-11-28|08:17:43|Hardware|Home Depot|P|-111.75
2023-09-17|14:27:03|Retail|Target|D|68.47
2023-07-25|13:51:47|Fast Food|McDonald's|P|-404.09
2025-06-02|09:07:23|Hardware|Home Depot|P|-318.28
2023-06-30|02:57:32|Gas|Shell|D|435.18
2025-05-15|23:49:58|Subscription|Netflix|D|79.39
2024-03-27|15:38:07|Subscription|Spotify|P|-157.48
2025-07-08|15:55:11|Hardware|Home Depot|P|-92.31
2025-07-04|01:11:52|Transport|Uber|P|-169.51
2024-09-02|18:44:35|Pharmacy|CVS|P|-71.13
2022-10-10|08:23:05|Transport|Lyft|D|35.08
2024-07-27|06:28:31|Retail|Target|D|50.49
2023-11-26|05:47:14|Pharmacy|CVS|D|103.80
2025-11-07|07:00:29|Groceries|Walmart|P|-206.16
2023-11-23|06:14:36|Coffee|Starbucks|P|-13.38
2023-03-13|08:14:54|Subscription|Spotify|P|-133.58
2024-05-24|18:01:50|Pharmacy|CVS|D|321.01
2024-03-20|03:14:15|Subscription|Netflix|P|-401.89
2022-01-26|19:15:17|Hardware|Home Depot|D|108.52
2022-08-05|06:49:45|Electronics|Apple|P|-89.25
2024-06-08|15:14:51|Gas|Shell|P|-256.32
2025-05-02|08:37:57|Transport|Lyft|P|-162.69
2023-06-14|02:13:57|Online Shopping|Amazon|P|-457.47
2025-02-18|10:06:59|Transport|Uber|P|-171.40
2023-09-05|07:41:18|Pharmacy|CVS|D|473.74
2022-12-01|06:45:03|Electronics|Best Buy|P|-167.69
2023-09-06|10:18:14|Pharmacy|CVS|D|252.11
2024-09-22|04:41:06|Subscription|Netflix|D|254.03
2024-03-07|14:06:06|Pharmacy|CVS|D|243.75
2024-05-08|00:26:53|Electronics|Apple|P|-294.53
2022-09-22|02:24:35|Pharmacy|CVS|D|100.49
2025-02-09|03:24:56|Coffee|Starbucks|P|-206.19
2024-05-29|19:25:00|Transport|Uber|P|-378.76
2022-12-21|15:43:10|Transport|Uber|D|285.30
2024-10-16|05:19:06|Pharmacy|CVS|D|52.42
2022-06-06|12:43:47|Hardware|Home Depot|D|279.16
2022-11-01|07:35:53|Coffee|Starbucks|D|369.21
2024-01-23|23:58:36|Subscription|Netflix|P|-155.79
2025-02-26|07:30:06|Gas|Shell|D|373.91
2024-09-23|00:04:25|Electronics|Best Buy|P|-345.60
2024-06-03|17:54:22|Electronics|Best Buy|P|-12.81
2024-12-16|17:49:24|Coffee|Starbucks|D|295.42
2025-09-12|10:26:15|Gas|Shell|P|-38.87
2024-07-07|01:57:25|Retail|Target|D|80.95
2023-10-16|22:53:15|Coffee|Starbucks|D|438.67
2022-11-04|03:47:36|Electronics|Best Buy|P|-18.74
2025-07-31|02:13:08|Gas|Shell|P|-238.44
2025-05-22|09:36:06|Coffee|Starbucks|P|-173.66
2024-09-26|11:19:56|Retail|Target|D|255.75
2025-03-03|19:10:38|Gas|Shell|P|-189.00
2022-09-03|23:30:01|Coffee|Starbucks|D|411.64
2023-11-13|05:53:29|Pharmacy|CVS|D|448.90
2025-05-25|17:56:40|Subscription|Spotify|D|62.53
2022-01-30|07:24:29|Electronics|Apple|P|-44.76
2022-08-19|16:00:58|Electronics|Apple|D|441.65
2025-03-24|20:16:38|Groceries|Walmart|D|342.38
2023-11-26|20:21:25|Retail|Target|P|-418.98
2022-08-01|15:00:52|Groceries|Walmart|P|-437.56
2023-08-23|16:49:09|Retail|Target|P|-356.15
2025-07-01|07:36:23|Retail|Target|P|-198.84
2022-06-22|17:07:48|Fast Food|McDonald's|P|-317.68
2022-04-30|17:15:36|Groceries|Walmart|D|122.54
2023-02-28|21:46:39|Subscription|Spotify|D|218.07
2025-09-03|16:08:59|Online Shopping|Amazon|D|169.33
2023-05-14|03:07:30|Subscription|Spotify|D|221.36
2023-11-04|06:46:46|Retail|Target|P|-8.45
2023-05-01|04:05:28|Subscription|Spotify|D|57.43
2023-01-09|13:00:25|Subscription|Netflix|D|383.97
2024-12-03|13:41:40|Coffee|Starbucks|D|341.54
2025-05-29|05:48:20|Retail|Target|P|-377.14
2025-05-28|15:29:47|Retail|Target|D|120.37
2025-06-10|06:00:01|Electronics|Apple|P|-479.64
2023-04-11|05:58:31|Gas|Shell|P|-96.86
2023-06-21|20:39:30|Subscription|Spotify|D|347.19
2023-02-22|05:35:54|Retail|Target|D|67.31
2022-01-23|12:45:35|Coffee|Starbucks|P|-348.22
2023-02-12|20:56:11|Coffee|Starbucks|D|98.50
2022-03-05|01:56:41|Coffee|Starbucks|D|485.35
2025-01-05|21:00:00|Gas|Shell|D|178.27
2025-12-21|16:57:48|Hardware|Home Depot|D|15.98
2022-02-07|10:08:37|Subscription|Netflix|D|123.19
2025-07-22|12:17:21|Fast Food|McDonald's|D|497.35
2025-03-24|09:44:41|Transport|Lyft|P|-334.13
2023-05-16|19:07:04|Transport|Uber|D|450.13
2024-03-10|21:43:59|Retail|Target|P|-380.95
2025-05-24|11:24:24|Online Shopping|Amazon|P|-413.80
2025-01-10|11:21:37|Hardware|Home Depot|P|-110.40
2024-01-12|21:52:51|Subscription|Netflix|D|148.03
2022-03-06|08:10:17|Groceries|Costco|P|-366.63
2023-10-09|23:42:20|Gas|Shell|P|-227.92
2024-02-04|15:10:54|Pharmacy|CVS|D|157.61
2023-12-01|12:00:00|Online Shopping|Amazon|P|-224.27
2023-04-21|12:04:48|Online Shopping|Amazon|D|321.62
2024-02-10|09:22:09|Fast Food|McDonald's|D|203.32
2025-11-28|18:27:13|Subscription|Spotify|D|362.77
2023-07-22|11:40:12|Transport|Uber|D|297.08
2023-01-05|15:20:38|Transport|Uber|P|-487.65
2023-11-02|04:47:35|Electronics|Apple|P|-497.02
2025-02-21|18:25:23|Hardware|Home Depot|P|-271.28
2023-10-24|18:47:05|Hardware|Home Depot|P|-18.67
2024-04-20|09:55:46|Fast Food|McDonald's|P|-120.13
2024-06-28|04:01:03|Transport|Uber|P|-385.86
2022-05-07|23:56:55|Online Shopping|Amazon|P|-437.99
2025-12-05|02:18:13|Fast Food|McDonald's|P|-23.19
2023-01-03|14:56:51|Transport|Lyft|D|402.08
2022-11-03|04:05:01|Pharmacy|CVS|D|14.48
2024-12-01|20:05:58|Fast Food|McDonald's|D|145.40
2025-10-17|15:06:43|Fast Food|McDonald's|D|428.49
2023-10-14|04:26:02|Coffee|Starbucks|D|103.28
2022-11-15|09:00:26|Pharmacy|CVS|D|92.88
2023-12-04|09:21:48|Transport|Uber|P|-471.09
2022-07-12|20:22:22|Gas|Shell|D|351.52
2022-07-31|17:47:57|Online Shopping|Amazon|P|-259.63
2024-06-17|05:55:03|Online Shopping|Amazon|D|245.80
2023-04-18|23:05:18|Subscription|Spotify|D|112.83
2024-12-03|01:42:34|Groceries|Walmart|D|166.68
2024-12-04|22:38:49|Groceries|Walmart|D|433.62
2024-09-26|17:04:58|Gas|Shell|D|231.34
2022-02-25|19:35:27|Online Shopping|Amazon|D|477.90
2023-05-16|02:52:54|Fast Food|McDonald's|P|-442.78
2022-07-02|20:03:09|Pharmacy|CVS|D|469.64
2023-01-20|03:38:24|Electronics|Best Buy|P|-22.67
2025-04-23|10:43:30|Online Shopping|Amazon|D|132.61
2022-06-23|05:52:40|Subscription|Netflix|D|275.73
2024-12-17|21:51:03|Electronics|Best Buy|P|-192.70
2022-07-05|09:35:11|Coffee|Starbucks|P|-269.17
2024-03-13|07:59:36|Electronics|Apple|P|-173.85
2023-11-22|17:25:29|Pharmacy|CVS|P|-226.61
2023-10-28|16:30:59|Subscription|Netflix|P|-193.19
2025-12-13|08:01:22|Gas|Shell|P|-93.53
2023-12-14|17:51:27|Hardware|Home Depot|P|-470.37
2024-07-03|05:16:29|Pharmacy|CVS|P|-313.21
2022-12-21|16:15:36|Pharmacy|CVS|D|455.08
2022-03-20|20:40:58|Groceries|Walmart|D|57.52
2024-11-06|03:45:28|Subscription|Spotify|P|-333.02
2025-01-04|19:09:05|Transport|Uber|D|197.55
2023-12-04|15:36:41|Coffee|Starbucks|P|-249.55
2022-12-03|08:17:43|Subscription|Spotify|D|133.02
2024-06-02|19:49:53|Hardware|Home Depot|D|414.17
2023-07-27|21:24:09|Retail|Target|P|-327.91
2023-03-30|05:26:20|Transport|Lyft|P|-115.21
2025-11-15|09:33:37|Gas|Shell|D|169.65
2025-01-10|01:32:52|Transport|Lyft|P|-160.94
2025-12-11|05:33:41|Gas|Shell|D|392.91
2023-10-08|20:02:34|Groceries|Walmart|D|7.75
2024-01-31|23:23:06|Transport|Lyft|P|-90.75
2024-06-26|11:06:17|Groceries|Costco|P|-185.92
2023-07-22|22:40:53|Electronics|Best Buy|D|357.37
2022-02-15|20:33:13|Groceries|Costco|P|-413.50
2025-08-07|03:09:01|Coffee|Starbucks|P|-153.57
2025-10-14|08:25:28|Groceries|Walmart|D|91.39
2022-12-27|18:38:13|Gas|Shell|P|-121.87
2023-08-15|20:08:11|Transport|Lyft|P|-180.97
2025-06-03|04:08:24|Subscription|Netflix|D|264.05
2023-07-31|14:39:37|Online Shopping|Amazon|P|-112.78
2024-10-04|18:08:00|Online Shopping|Amazon|D|266.91
2022-01-13|00:15:01|Fast Food|McDonald's|P|-64.22
2025-01-02|16:37:47|Transport|Uber|P|-94.22
2022-09-04|20:38:20|Gas|Shell|D|323.82
2025-12-27|14:25:39|Groceries|Costco|D|30.13
2025-03-17|03:17:01|Electronics|Best Buy|D|296.31
2023-03-21|12:12:41|Subscription|Netflix|D|249.93
2023-02-21|14:42:05|Electronics|Best Buy|D|377.70
2024-07-18|16:12:19|Coffee|Starbucks|P|-199.65
2023-01-14|03:13:15|Coffee|Starbucks|D|2.30
2024-07-16|01:11:27|Subscription|Spotify|D|357.23
2023-12-30|20:57:08|Electronics|Best Buy|D|77.28
2023-10-16|19:34:29|Online Shopping|Amazon|D|157.23
2022-05-19|18:09:14|Subscription|Spotify|P|-102.88
2025-08-26|12:15:50|Hardware|Home Depot|P|-19.95
2024-09-03|00:55:43|Groceries|Walmart|D|52.99
2023-05-07|23:45:42|Online Shopping|Amazon|P|-109.04
2023-07-23|16:21:36|Transport|Uber|P|-189.04
2025-06-21|22:13:50|Groceries|Walmart|D|122.81
2023-12-02|02:56:44|Coffee|Starbucks|D|246.00
2025-10-13|00:11:27|Subscription|Spotify|P|-333.15
2022-07-17|05:41:08|Hardware|Home Depot|P|-119.47
2024-05-19|06:18:14|Retail|Target|P|-216.65
2023-02-22|03:12:14|Subscription|Spotify|P|-30.57
2025-12-11|10:09:27|Transport|Uber|P|-414.61
2024-04-15|07:04:06|Coffee|Starbucks|D|368.88
2022-04-01|20:54:13|Online Shopping|Amazon|P|-282.64
2023-04-29|16:48:35|Subscription|Spotify|D|96.53
2023-07-03|12:17:59|Electronics|Best Buy|P|-310.87
2022-09-30|09:03:49|Gas|Shell|D|399.47
2024-06-23|22:48:22|Transport|Lyft|P|-11.43
2024-04-01|03:56:19|Groceries|Walmart|P|-151.53
2022-08-02|09:15:02|Hardware|Home Depot|P|-53.68
2025-01-14|04:40:03|Transport|Lyft|P|-226.48
2024-05-06|20:35:33|Transport|Uber|D|175.58
2023-05-19|08:58:43|Fast Food|McDonald's|P|-1.49
2023-10-09|01:39:08|Subscription|Netflix|P|-4.69
2022-05-14|11:37:35|Coffee|Starbucks|P|-324.51
2024-09-01|21:34:13|Retail|Target|D|25.12
2024-05-30|17:45:51|Subscription|Spotify|D|292.78
2022-02-04|23:51:08|Groceries|Walmart|D|398.07
2022-04-24|10:01:11|Electronics|Best Buy|D|100.19
2022-12-31|03:11:21|Online Shopping|Amazon|D|108.96
2023-06-04|13:56:52|Hardware|Home Depot|D|204.30
2023-12-02|16:34:25|Transport|Lyft|P|-461.68
2022-06-01|12:42:48|Transport|Lyft|D|147.93
2023-01-23|16:34:05|Groceries|Costco|D|180.54
2024-09-06|22:10:23|Pharmacy|CVS|P|-222.97
2025-01-06|15:45:51|Coffee|Starbucks|D|61.50
2024-09-28|00:25:00|Online Shopping|Amazon|D|142.96
2025-05-03|08:52:14|Transport|Lyft|P|-385.89
2023-11-13|01:01:32|Electronics|Apple|D|268.94
2025-01-06|23:25:10|Electronics|Apple|D|164.96
2024-02-26|07:45:20|Groceries|Costco|P|-495.37
2023-03-21|07:32:38|Electronics|Apple|P|-255.03
2023-06-21|15:19:58|Electronics|Best Buy|D|2.65
2023-03-29|15:06:03|Electronics|Apple|P|-435.28
2025-07-08|11:18:43|Pharmacy|CVS|P|-477.99
2024-10-31|22:22:04|Coffee|Starbucks|D|448.70
2022-03-14|14:02:19|Hardware|Home Depot|P|-246.39
2023-03-02|05:58:47|Retail|Target|D|453.55
2023-11-19|05:27:38|Online Shopping|Amazon|D|126.60
